# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
方燧,深柳道人,玉山
方爾咸,澤山
方爾謙,地山,無隅
方牧,孟芻
方猶,壯其
方猷,元老
方獻夫,叔賢,文襄,方献夫,方獻科,獻科,西樵
方玄成,孝標,方孝標
方玉坡,石樵
方玉垣,瑤圃
方玉潤,友石,星烈,洪濛
方玉璞,恬庵,理岩
方玉璪,勤庵,採卿,梅翹
方玠,方玉,無為子
方玢,治泉
方珌,元善
方珍,素娟
方珨,仲和,曉山
方珪,純潔
方球,南園
方琚,世良
方琛,元獻
方琢,元章
方琬,宛玉,少君
方琮,橙浦,澄浦
方瑑,元圭,元珪
方瑔,仲淮
方瑛,眉士
方瑜,元忠
方瑞照,淳日
方瑞麟,仁甫,聖徵
方瑾,玉懷
方璘,文玉,鑑海
方環子,仲玉
方瓘,明谷,時素
方用,希才
方用儀,仲鴻
方申,瑞齋,端齋
方甸,季侯
方略,作謀
方疇,困齋,耕道
方登,樵城
方登嶧,屏柘,鳧宗
方發,鳳剛,鳳圃,鳳岡,鳳罔
方矩,大器
方祥,四十七,履祥
方禹錫,文瑞
方禾,耕叟
方秉,月槎
方秉國,均甫
方秉孝,行先,農髯
方秉白,直甫,草堂
方秉鈞,蓮浦
方積,叔高
方積球,彭年
方積驊,楚璋,躡雲
方立盛,竹圃
方立經,錦川
方端,察甫
方竹,白山,瞻彔
方笙,豫賓
方符,子約
方筠,蘭畦,雪廬
方範,敘道
方簡,君在
方簡輿,利用,周尚,第六,赤哥
方粱,方梁
方粹然,心醰,雪瓢
方紀達,行可
方純仁,時勉
方紹堯,祁卿
方紹董,竹軒
方紹震,我田,治田,莪田
方絢,君素,濯錦先生
方維儀,仲賢
方維則,季準
方維幹,濟生
方維甸,勤襄,南耕,南耦,南藕,心蘭室,葆嚴,葆岩,葆巖
方維祺,春之
方綰,五五,念五哥,淸卿,清卿,第念五
方縉,八十八,時彥
方績,展卿,牧青,青展
方義,敬齋
方義壯,伯猷
方義夫,夢得,德充,德輔,第千九七
方翀卿,飛英
方翊清,琴泉
方翥,次雲
方耀,照軒
方耒,困齋,耕道
方聊聚,友槎,樹星
方聯孚,琴舫
方聯甲,木橋,蓬累子
方聯聚,樹星
方聲宏,偉子
方聲洞,子明
方職,藎思
方肯堂,子升
方育盛,拷舟,與三
方胤,穆孫
方臘,聖公
方自華,實君先生
方至,君玉,天慵
方致祥,心齋
方與時,湛一
方興,義軒
方舜年,樵苓
方舟,時濟
方良堂,春宇
方良孺,稚子
方良曙,二十三,子賓,暘谷
方良永,壽卿,松厓,松崖,簡肅
方良節,介卿,雪筠
方良範,子賢
方芳佩,懷蓼,芷齋,鳳池
方芾林,召棠,幼泉
方苞,抗希堂,望溪,望溪先生,靈皋,鳳九
方若坤,子靜
方若夔,衣江
方若徽,仲蕙
方若蘅,叔芷,畹芳
方若麟,湘漁
方華欽,竹南居士
方萬,盈之
方萬山,仰之
方萬有,奎山,如初
方萬策,元忠
方萬里,子萬
方葆珊,保三,海舲
方葇如,荔帷,藥房
方蒙,七星集
方蒙仲,方澄孫,澄孫,蒙仲
方蔭華,季嫻
方薌林,肖蘭
方薰,井研齋,嬾儒,山靜居,抱璞山人,樗庵,樗庵生,樗盦,樗菴,石門布衣,禦兒鄉農,蘭坁,蘭坻,蘭士,蘭如,蘭池,蘭生,語兒鄉農,遇安居士,長青,鬻兒
方薿,耘軒
方蘋,仲禮
方行,明敏
方行可,從志
方裕清,笠津孽女
方覲,蔤汀,近文,近雯
方觀承,問亭,嘉榖,宜田,恪敏,東閣,述本堂,遐榖,遐穀,開寧
方觀旭,升卿,升齋
方觀海,魯山
方觀濤,秋浦
方觀瀾,方山氏,紫庭
方詠,方泳
方誌,信之
方誼,賓王
方誾,彥和,龍亭居士
方謙,纯吉
方豐之,德亨
方象瑛,渭仁,金門大隱,霞莊
方豪,思道,棠陵
方貞,幹周
方貞觀,南堂
方貢孫,去言,竹溪
方資,逄原,逢原
方賢,玉書
方軫,和同
方輅,洪載
方輔,廷臣
方輔宋,方寅
方輔悟,惺民
方輗,叔行
方辛,雲岩
方适,彥周
方通,叔時
方逢嘉,君會,嚴隱
方逢堯,景雍
方逢年,書田,獅巒
方逢振,可齋,君玉,山房先生
方逢時,兆行,樗野,行之,金湖
方逢辰,君錫,夢魁,方夢魁,方達辰,聖錫,蛟峰先生
方逢龍,騰甫
方進,以禮
方逵,景由
方遇,時父
方運籌,幄臣
方過,仁甫
方道叡,以愚,方道壑
方道夫,德弘
方道濟,謙初
方道章,定思,用安
方道通,寓庸
方達,惟望
方遠宜,伯時
方適,虛谷先生
方遵㯙,柳湖
方遵轍,榔澳
方選,于公,子公
方邁,子向,日斯
方邦慶,以賢
方邦望,表民
方都秦,百二
方都鎬,周士,臥雲
方采,君采,墨林居士,方君采,采伯
方重傑,思興
方金彪,寅甫
方鈍,仲敏,子銛,礪庵,礪菴,簡肅
方銘正,一帆
方銳,安平侯,廷器
方鋻觀,鏡湖
方錫慶,浮渡,麟軒
方鍇,楚金,鐵君
方鎔,伯冶,耐軒
方鎬,仲京
方鎰,子兼
方鏞,笙甫
方鑄,劍華,子陶,華胥赤子
方長庚,方復臨
方長春,寅之
方長豫,秋梯,秋槎
方阜鳴,子默
方陟,雲泉
方陶,柳村
方隆,景盛
方際商,卓如
方雲,竹君
方雲卿,怡雲,龍眠女史
方雲翼,景南
方雲駿,又申
方雷震,聲甫
方震,補德
方震初,石泉
方震孺,孩未,念道人
方霖孫,第五一,雲卿
方霞初,石泉
方青,阿青
方韓,若韓
方順,利帆
方頌齡,立之
方頤靜,敬之
方顏,國老,星郎,第二十,鄭哥
方顔,國老
方願瑛,實村,實邨,石村,符白
方顯,孔融
方駿謨,元徵,耐餘
方騄,卓群,鏡湖
方騫,蔭山
方騭,玉裁,雲泉
方體,茶山,道坤
方體祖,仰齋
方鳳,改亭,時鳴
方鳳岐,鳴山
方鳳時,梧生,芰圃
方鳳鳴,藻臣,集阿
方鵬,時擧,矯亭
方麟時,劍子,栗其,牧石道士
方鼎,牧村
方鼎銑,肖園
方齊壽,暢九
於士宏,體乾
於學琴,桐軒,洞軒
於寬,德裕
於心匡,鼎來
於惟一,德夫
於敖,伯度
於斯和,爾節
於聞,子行
於青年,於荷
施㷾,岱霞
施一德,子脩
施三捷,長孺
施世惠,憲章
施世綸,南堂,南堂先生,文賢,潯江,靜齋
施世英,俊卿
施世驃,勇果,怡園,文秉
施丙,仲南
施之勛,顛顛
施之博,濟航
施仁,壽卿
施佩鳴,蘧修
施俊,用章
施保裔,紫園
施偉,卓齋
施偕隱,山居
施健,體乾
施儒,聘之,西亭
施允壽,伯和
施元之,德初
施元孚,六洲,德交
施元徵,曠如,泰先
施元長,景仁
施元龍,殿選
施光顯,文模
施典章,子謙,鼎臣
施化理,贊廷,雲溪
施千祥,善徵
施升,伯信
施南一,與之
施同仁,禮齋
施啓宗,儀先,敏先,毓先
施啟宇,稚桐,雨農
施國祁,北研,吉貝居,禮耕堂,非熊
施均,利亭,和亭
施坤,資生
施坦,季平
施坰,林宗
施培增,翰臣
施培應,起東
施堯百,希舜,華江
施堯臣,忠甫,欽甫
施士洁,應嘉,澐舫,耐公
施士潔,喆園,應嘉,沄舫
施士衡,德求
施夢樞,宋卿
施夢龍,伯雨
施大任,和叟,施天任
施大夏,禹聲
施大業,與三
施天德,象尼
施天麟,以德
施奇,廷偉
施奎,漢章,竹坡
施學澍,春谷,雨王
施學濂,大醇,施學廉,耦堂
施守業,左喬
施安,石友,竹田,靜岩
施宜春,梅江
施宜泰,梅九,梅江
施宜生,三住老人,必達,施逵,明望
施家樹,肯哉,雪樵
施宿,武子
施寶,思琛
施尊賢,左虛
施履亨,春樹
施山,鎭卿
施峻,平叔
施崶宗,西橋,西翹
施嶽,仲山,梅川
施希泰,靜川
施師點,正憲,聖與
施庭臣,廷臣,揚休,施廷臣
施康年,壽翁
施廣,施寅
施廷弼,星南,燮材
施廷桂,鳳橋
施廷樞,北亭,慎甫
施廷燦,紹齋
施廷璜,信齊
施建烈,叔愚,叔隅,獨翁
施彤芳,香谷
施彥士,樸齋
施彰文,美蘅,香海
施得霖,施德霖
施德操,彥執,持正先生
施德欒,北山,蘭皋
施德禎,天瑞
施恕,勉仁,十四
施惠,君美
施愚,小山,鶴雛
施愛,十一,欲周
施慶修,小峯
施慶祥,履庵
施應藻,仲文,徵頌,箏秋
施承蕊,芳英
施振瀛,曼仙
施掌珠,佩蘅
施政,長尹
施文勝,文質
施文銓,壽民,怡雲山人
施文顯,煥伯,膚菴
施昌言,正臣
施昭庭,寄篁,筠瞻
施昱,子貞
施晉卿,子一
施有奎,文晏,聚五
施朝幹,培叔,小鐵,鐵如
施朝榦,六義齋,培叔,小鐵,廷午,施朝幹,朝幹,鐵如
施朝鐺,揚衡,選卿
施杓,鯉門
施柔荘,浣秋
施栗,德寬
施桐,晉卿
施槃,彥器
施樑,仔吾,澹寧
施樞,浮玉,知言,芸隱
施汝欽,典和,少雲
施沆,信之
施沛霖,少垣,潤齋
施泰亨,守正
施泰時,大來
施浚明,二華
施浥培,遂園
施浴升,子明,旭臣,紫明
施淇,竹泉,衛濱
施淏,朴堂,樸堂
施淑儀,學詩,湘痕
施淵然,少才
施溥,伯言
施澐,君珊
施澤緜,子長,孝潔
施炌,涵若,澹珍
施炳星,奎垣
施焜然,孺朗
施焞,孟餘
施煦,次峯,霞峰
施燦,星羽
施爾志,荊塗
施玉鬯,潄芳
施琅,尊侯,泰舒,琢公,琢玉,襄壯
施琪,永叔
施琰,文壁
施瑛,漢瑞
施瑮,質夫,質存,隨村
施璜,施黃,玉虹,虹玉,誠齋
施皋,聖襄
施禮,仲節
施禹功,彥成
施端教,匪莪
施策,勵菴,懋揚
施篤臣,敦甫
施紀雲,鶴生
施純,彥厚
施累,元功
施紹武,施紹培,樹之,樹存,石樵,靈石山房
施紹闇,定安,襄夏
施維翰,及甫,淸惠,研山
施綺,浣溪
施縉,壯毅
施縝,德玉
施繩武,大宗
施繼常,蘅甫
施耳,子安,耐庵
施聚,威靖,懷柔伯
施肇元,長也
施肇曾,省之
施肩吾,希聖,栖真子,華陽真人
施舜顯,聖揚
施芳,蕙貞
施葆修,壽生,靜山
施行義,方屏
施裕,克寬
施補華,均父,均甫,峴傭,施份,澤雅堂,竹屋
施觀民,于我,龍岡
施訓,庭方
施誠,君貴
施調賡,少愚,軸三
施諤,黃施諤
施諲,敬叔
施謙,自勖,自南,蘭垞
施譽,次仲,砥園
施貞,蓮因
施貫之,少曾,慶孫,第千念五
施贊唐,四紅詞人,槁蟫,琴南
施近臣,晉甫
施退翁,以道
施逢元,天虞,惟貞
施道生,績堂,西山,酉山
施遠恩,魯瞻
施邁,德遠
施邦曜,四明先生,忠介,爾韜
施郁,景文
施鈞,則夫
施鉅,大任
施錫曾,借林,永沂,香草
施錫衛,小蓮,康藩
施鍾,秀峯,秀峰
施鏞,洪聲,淇聲
施閏章,上白,夢愚堂,學餘堂,寄雲樓,尚白,屺山,屺雲,愚山,愚山先生,愚道人,愧蘿居士,施佛子,獨樹軒,玉溪外史,矩齋,蠖齋
施陛錦,祖誠
施陽得,復徵
施階,恆占,橫瞻
施際清,穆亭,緝熙
施雋,桐卿
施雨,文峯,文峰,潤之
施霆亨,尊道,榮南
施震,亨甫
施震銓,長六
施霖,廷相
施靜儀,芝田
施韡,佩蘅,棣莊
施鳳,東岡高士,鳴陽
施鳳來,羽皇
施鴻保,可齋,榕生
施鵬,祖鯤,雲翼
施麟瑞,玉符,篔谷
施鼎,立亭,龍文
日運滄,清兮
旺都特那木濟勒,如許齋,衡齋
旻寧,宣宗,效天符運立中體正至文聖武智勇仁慈儉勤孝敏寬定成皇帝
昂吉,啟文
昂天䎖,存庵
昌士氣,養浩
昌應時,廷佐
昌文貴,呂文貴,天爵
昌樹培,冠軒,完軒
昌永,禹功
昌祿,珍齋,綏之
明之綱,禹書,立峰
明俊,仁俊
明保,子徵,竹礀
明倫,天序
明兆麒,紫卿
明克峻,少白
明奎,覺羅明奎
明安,二黑
明安圖,靜庵
明安答兒,武毅
明安達耳,士元
明希晉,家本
明德,至善
明德紹,厚齋
明惠,菊人
明慧,悟修禪師
明昇,歸義侯
明昌,復齋
明春華,龢皆
明時舉,直卿,虞繇
明晟,宋聲
明欲,了菴,南堂
明玉珍,太祖,文武至聖皇帝,旻玉珍,旻珍,旻眼子,旻瞎子,明玉真,明眼子
明理不花,惟一
明睿,作聖
明經,致用
明纘道,用甫
明訓,鼎雲
明通,梅江
明里察,康懿
明鋠,修園
明鋹,修蜀
明鎬,化基,文烈
明雅,子儒
明鳳岐,桐軒
明龍,東陽
易世澤,雨民
易中孚,信菴
易之瀚,浩川,蓉湖
易以巽,汝中
易仲信,雪崖
易佩紳,健齋,函樓,壺天遁叟,壺天遯叟,壺天閣,子笏,子芴,易園,未亭,笏山,芴山
易俊,南舫
易倣之,惟傚,惟效
易偉,兼山,成大
易元吉,慶之
易兆羲,畫初
易先,太初,忠節
易光惠,濂舫,濓舫
易原,以淸
易可久,三十九,德夕即
易國勳,岱松
易培基,寅村,鹿山
易堂俊,海青,見三
易大華,易大年
易天成,卓庵,琢之
易如剛,仁甫,通妙先生,通妙葆真先生
易子彬,鵠惺
易子炎,天祥
易學實,去浮
易學清,業鏡,蘭池
易學起,小坪
易孺,大廠,季復,韋齋
易宗夔,蔚儒
易宗涒,公申,賁庵
易官善,雪峯
易定基,安卿
易家霖,煦庵,煦菴
易寬,十一,栗夫
易寶善,桐雨
易居仁,民表
易履,安道
易履元,垣齋
易履泰,眉川
易延慶,純孝先生,餘慶
易廷斌,思成,石農
易廷望,都人
易思,易偲
易思義,宜中
易恆,久成,泗園叟
易應昌,瑞芝
易應雲,易應榮
易才英,君養
易振元,培亭
易文濬,問齋
易文贇,廣美
易時中,嘉會,愧虛
易景升,方游
易暐,光道
易書紳,縉臣
易本初,致善
易本烺,眉孫
易棠,召甘,念園,貽芬書屋
易正元,占吉,謙齋
易正大,伯芹,文孫,直方,第百十
易準,平叔
易潤壇,畇荄,荷生
易炳,易丙
易炳奎,曼農,望隆,業修
易炳晃,筆山,鳳游
易為鼎,用王
易玉如,晉卿
易瑜,仲厚,玉俞
易瓚,廷用
易登瀛,君選
易祓,山齋,彥祥,彥章
易禧善,允甫,易元善,石坪
易立中,中甫
易章玉,漢喬,漢橋
易節,志遐
易縳,孟微
易舒誥,欽之
易良俶,屏山
易芳,天培
易茂,中莆,靜吉
易莞,德修
易蓁,後齋
易蔭之,春卿,春軒
易蘩,南蘋
易袚,彥章
易謨,嘉言
易貞,丞午,成吾,煚士
易貴,天爵
易贊寧,襄伯
易超,蘇臺
易輗,仲載
易道暹,曦侯,曦賢
易道沛,晴湄
易道談,進明
易重,鼎臣
易鏡清,本傑,蓮毓,蓮航,蓮舫
易鑒章,月潭,鈞衡
易長楨,晴江
易長華,子實
易雍,邵子
易順鼎,一厂,中實,中庸,中碩,仲碩,哭厂,哭庵,哭盦,奚哭齋,容園,實父,實甫,寶瓠齋,慕皋廬,懺绮,懺绮齋,懺绮齋主人,摩圍閣,易碩,林屋,楚頌亭,楚頌樓,照霞樓,玉虛子,玉虛齋,琴志樓,眉伽,眉心,眉心室,石甫,碧湖秋梦詞人,碩甫,種石,葉笑庵,蘭伽,靄園,龍陽才子
易鶚,九霄
易鸞,和鳴
昔依,青寄
昔橫,飛卿
昔溎,文濤
昔里哈剌,襄靖
昔里鈐部,貞獻
昝仝,毅章
昝如心,子推,峩東
昝如思,子學
昝居潤,廣川
昝斌,務斌
昝萬壽,昝順
昝誠,篤學
星吉,吉甫,忠肅
春溥,伯熙,博泉
春熙,介軒
春生,春升,春陞
春臺,顧齋
春輅,和甫,式之,陽和
春長,晴欄,澤如
是奎,晚齋,玉雯
是鏡,仲明,誠齋
晁仲參,孝先
晁仲熙,子政
晁仲衍,子長
晁仲詢,芻民
晁公休,子嘉
晁公壽,公艾,平子,晁公艾
晁公慶,仲石
晁公武,子止,昭德先生
晁公為,子莫
晁公秉,伯均
晁公遡,子西
晁公邁,伯咎,伯皋,傳密居士
晁冲之,具茨先生,叔用,用道
晁升之,升道
晁子健,伯彊,強伯
晁子與,淸容居士,點仲
晁宗恪,世恭
晁宗愨,世良,世長,文莊
晁將之,旡斁,無斁
晁崇,子業
晁德儀,宜興縣君,文柔
晁必登,汝吉
晁昇,曙堂
晁東吳,叔泰
晁氏（元昭皇后）,元昭
晁瑮,君石,春陵
晁百談,元默,晁伯談
晁百谷,元歸
晁盡孝,克仁
晁端中,元升
晁端仁,堯民
晁端友,君成,君陳,晁端有
晁端彥,美叔
晁端禀,大受,寂默居士
晁端禮,次膺
晁端稟,大受,寂默居士
晁端規,夢規
晁補之,旡咎,歸來子,濟北,無咎
晁觀之,盥道
晁詠之,之道,叔予,晁深之,深道,知道
晁說之,以道,伯以,季此,景迂
晁説之,以道,伯以
晁謙之,恭道
晁貫之,季一
晁載之,伯宇,伯羽
晁迥,文元,明遠
晁采,試鶯
晁隆之,伯順
晁顯,顕卿
時中,大本
時偕行,汝徤
時儼,晴川
時元熙,澹川,祉卿
時在,一致
時圯授,期五
時塏,哲夫
時夢洪,壽孫,椿老,毅甫,第省一
時大杭,葦洲
時太初,大本
時嫺,宜幽
時嫻,宜幽
時少章,天彝,所性
時山漢,佃芝,柱和
時式玉,筠石
時彥,邦美
時旦,慕周
時晟天,鳳國,鳳岡
時曰淳,時曰涥,時曰湻,淸甫
時曰醇,淸甫
時植,良材
時永新,汶橋,銘三
時汝功,德懋
時汝翼,德輔
時汝賢,舜舉
時涇,仲淵
時淇,叔瞻
時源,子自,果齋
時澐,伯江,夷介,子澐,子雲,遜齋
時瀾,南堂拙叟,叔觀,子瀾
時畏天,鳳岡
時當可,文舉
時紀,德憲
時經訓,誌畬
時舉,正起,訥齋
時觀,子中,是齋
時象晉,越皆
時軫,允暘,漁逸
時通,睿夫
時鈞轍,西巖
時銘,佩西,香雪
時鋹,長卿
時鑄,壽卿
時際可,逸溪
時震,伯威
晆章煥,德新
晆紘,朝冕
晉人驥,滋雲,潄雲
晉光試,斗淵
晉廷楫,濟川
晉憲,習齋
晉應槐,似齋,念冲先生,植吾
晉榮,景侯,錫三
晉汝賢,才卿
晉鵬舉,雄飛
晏乂,明粲
晏仕翹,應望
晏仲穎,君超
晏君掄,延庸
晏大正,子中
晏大烈,功甫
晏安瀾,丹右,惕庵,海澄
晏宗望,秋文,秋水
晏幾道,叔原,小山
晏承仲,晏承冲
晏敦復,景初
晏文欽,錫珊
晏文輝,懷泉
晏文顯,崇道
晏斯盛,一齋,楚蒙山房,虞際
晏曜,德明
晏殊,元獻,同叔
晏淳一,典五,心田
晏溥,慧開
晏溫,益三
晏然,所同
晏珠,廷光
晏知止,晏崇讓
晏端書,巢芸,彤甫,桐甫,蛻叟,雲巢
晏端溶,翔生
晏訴真,雪研女士
晏輅,邦制
晏轍,同軌
晏鐸,振之
晏防,宗武
晏霱明,雲章
普剌,允中
普化鐵木兒,兼善
普慶,春霖,曉岩
普智,一枝叟,無碍
普祥,博齋,治平,續鐸
普答剌吉,榮襄
普羅鼐,坡羅鼐,婆羅鼐,波羅鼐,玻羅鼐,瑣南多結,頗羅鼐
普達世理,原理
普達實立,仲溫
普顏,子壽
普顏不花,希古
普顏脫忽憐,靖忠
景仲光,文華
景佐,良弼
景公直,頲之
景其濬,劍泉,哲生
景卿,夢弼
景厚,敦甫
景啟祥,青陽
景善,茀亭
景壽春,眉峯
景天相,吉人,慎軒
景如柏,景如栢,東庭
景崇曾,秋田
景嵩,惟中
景廉,秋坪
景延廣,航川
景思忠,進之
景慶,覺羅景慶
景應熊,誠庵
景方旭,明久
景方昶,旭林,樨庵
景日昣,冬昜,冬暘,外方柱史,崧生,崧臺,嵩厂,時禱雨齋,景日珍,東暘,東陽,袖烟堂,袖煙堂,高崖
景昌,海亭
景明,中宇
景星,德輝,訥菴
景星杓,亭北,菊公
景春林,杏村
景暘,伯時
景步瀛,仙洲,遷洲
景步逵,鴻洲
景江錦,秋田,蠡門
景泰,周卿
景清,耿清
景溎,小川
景溱,濟之,蒲津
景潤,子中,礙雨
景澤,小晴,筱晴
景瀛,玉洲,雨滄
景燮,閬仙
景玉,淸如
景發振,衣千
景福,介之
景禐,佩珂
景章,速卿,雲河
景翩翩,三昧,景遙,翩翩
景耀月,太昭
景考祥,履齋
景蘭金,溶文
景謙,福泉
景貞運,我新
景運昌,芝田
景隆,祖庭,空谷
景霖,澍田,雨臣
景麟,東圃
景黃裳,元叔
智京,仲敬
智光,無隱
智及,以中,廣慧
智受益,仲謙
智悟,淨參
智熙善,子元
智迂,仲可
智順,逆川
暗伯,忠遂
暗都剌,瑞芝
暗都剌哈蠻,彥翬
暢,紹川
暢亨,文通,陽亨
暢大隱,潛道
暢師文,文肅,泊然,純甫
暢懷貞,仲鄰
暢昉,欽明
暢泰兆,含元,素庵
暢當,暢大
暢篤,堆音,曾伯
暢華,子實
暢雲松,壽南
暨唐裔,堯本
暨陶,粹翁
暴大儒,梅村,超亭
暴孟竒,純甫
暴式昭,方子
暴昭,剛烈
暴益,仲謙
暴莊,休莊
暴賢,洪相
暴顯,思祖
曉古台,武靖
曠作成,篔谷
曠成春,琴仙
曠敏本,岣嶁,魯之
曠楚賢,振南
曠鳴鸞,聲和
曲世淳,季璞,樸山,漢村
曲元縝,知柔
曲出帖木兒,有誠
曲夢鯉,謂南
曲惠,順卿
曲樞,忠惠
曲氏(李士素妻),麗卿
曲珍,君玉
曲福綬,印臣,夢樓
曲端,壯愍,正甫
曲遷喬,允升,帶溪
曲銳,朝儀
曷剌,安穆
書綸,碩農,紫園
曹?,仁叔
曹?瀛,星槎
曹䦎,次蕭
曹一介,子和,筠軒
曹一元,慎夫
曹一士,濟寰,諤庭,諤廷
曹一夔,子韶
曹一貫,唯夫
曹一鳳,伯儀,翔宇
曹一鵬,冲宇,子運
曹一麟,伯禮
曹三德,安道,日亭
曹三暘,子泰,雲山
曹三祝,襄愨
曹丕,子桓,魏文帝
曹世欽,悅菴
曹世盛,方坡,際卿
曹世貴,仲明
曹丙煇,俊三
曹中,久德,文德
曹中技,小菴
曹中裕,子餘,餘子
曹之升,寅谷,登階
曹之謙,兌齋,益甫
曹之驊,路先
曹九韶,舜音
曹于汴,真予,真予先生,自梁,貞予
曹亞伯,凌雲
曹亨,伯貞
曹京,梅邨,雲路
曹亮武,南耕,渭公
曹仁,子孝
曹仁希,企之,曹仁熙
曹仁虎,來應,來殷,吳中七子,宛委山房,杭仁虎,硯靜庵,習庵,習菴,萊嬰,萊殷,蓉鏡堂,詠典堂
曹仙,小瓊
曹代蕭,畫一,莒岸
曹以植,建甫
曹仲埜,希文
曹伯啟,士開,大開,文貞
曹伯堅,仲益
曹伯成,子諫
曹伯棨,惕忱
曹伯清,以濓
曹佃,耕道
曹佐熙,攄滄,書倉,毅庵
曹作雲,季能,季龍
曹佩英,小琴
曹佺,存之
曹佾,公伯
曹來旬,伯良
曹俞,舜咨
曹信,信玉
曹修古,述之
曹倣,汝學
曹倬,二養堂,大而,恥齋
曹偉,太虛,文莊,梅溪
曹偉皆,莪屺
曹偕,光道
曹傅,幼巖
曹儀,亮疇
曹允儒,魯川
曹允升,中孚
曹允武,季服,寄庵
曹允源,復庵,根蓀
曹元,以貞
曹元忠,君直,夔一
曹元慶,餘亭
曹元方,介皇,淳村,耘庵
曹元會,敬齋,濟父
曹元瑞,侶白
曹元用,子貞,文獻,超然
曹元發,正己
曹元芳,曹元方
曹元錦,綴雲
曹元鼎,彞仲,銘之
曹光,原實
曹光實,顯忠
曹光祚,伯延,胤從
曹光詔,識山
曹光遠,忠景,晦甫
曹克忠,藎臣
曹克明,堯卿
曹公遠,明斗,未詳
曹冠,宗元,宗臣,雙溪
曹凱,宗元,宗原
曹利用,用之,襄悼
曹勑,嘉正
曹勛,公顯,功顯,忠靖,松隱
曹勳,允大,峨雪,東干釣叟
曹勵成,蓮生,運生
曹博,守約
曹卿,廷爵
曹原傑,名父
曹友仁,梅湖,汝益,頤齋
曹友夏,次辰
曹友山,志雲
曹友聞,允叔,毅節
曹叔遠,器遠,文肅
曹叶卜,曹汝弼
曹司勳,應麒
曹司賢,名卿,齊卿
曹同德,同野
曹同統,容庵
曹名世,序五
曹告春,問農,近山
曹命敎,彝甫,澹雲
曹和澍,沛之,雲卿
曹唐,堯賓
曹善,大多山人,復堂
曹嗣宗,益顯
曹嗣昭,性若
曹嗣榮,濮陽,繩之
曹嘉,仲禮
曹嘉期,素庵
曹國柄,翼宸
曹國榘,叔方
曹國樸,槱之
曹國英,月峯
曹坦,中履,己圲
曹垂璨,六琪,綠岩
曹垓,德夫
曹垣,微亭,星樞
曹城,仲宣,顧崖
曹埜,子學
曹基申,建奎,雲亭
曹堃,味廉,味齋
曹堅,子石
曹堯咨,唐弼
曹士俊,智千
曹士冕,端可,陶齋
曹士國,元治
曹士鶴,元翀
曹壽,曼齡
曹壽奴,山姑
曹壽銘,文孺,烺齋
曹大中,和宇,鼎谷
曹大任,景伊,毅齋
曹大俊,即三,心穀
曹大同,子貞
曹大咸,元和,翼野
曹大埜,仲平,荔溪
曹大川,長融
曹大昌,耆卿
曹大有,野臣
曹大本,彥禮
曹大濩,尚白
曹大章,一呈,二十,含齋
曹大聲,子先
曹天佑,慶亭
曹天憲,恆卿
曹天祐,有卿
曹天錫,鴻序
曹奇,仕奇
曹奎,秋舫
曹奐,元帝,元皇帝,景明
曹好益,士友,文簡,芝山,貞簡
曹如海,敬元
曹妙清,比玉,雪齋
曹娥,福應靈孝昭順純懿慧感夫人
曹子勤,祇甫,鼒簠
曹子念,以新
曹子昂,伯仁,鶴泉
曹子朝,以立
曹子登,以漸
曹存心,仁伯,樂山
曹孚,偶寄,非聞
曹孚中,木舟
曹孝先,元恩
曹孝慶,可昌
曹學佺,右倉,夜光堂,忠節,浮山堂,淼閣,澤雁,石倉,石倉園,石倉居士,福廬,聽泉閣,能始,西峰,西峰居士,西峰草堂,雁峰居士,雁澤,雪桂軒
曹學好,少家
曹學彬,介峰,再華
曹學程,希明
曹學詩,以南,震亭
曹學閔,孝如,宗丞,慕堂,紫雲山房
曹守貞,子一
曹宏,維裕
曹宗瀚,于源,嵐樵
曹宗璠,汝珍
曹宗載,問渠,桐石,鐵梅
曹定國,安卿
曹宜溥,子仁,鳳岡
曹宣,子猷,筠石
曹家甲,安峯,爲質
曹家達,尹季,穎甫,鵬南
曹寅,子淸,楝亭
曹察,明卿
曹寶珠,佩秋
曹尚治,子景,忠貞
曹居一,南湖散人,聽翁,通甫
曹履吉,淩軒
曹履泰,曙山,樹珊
曹岐,鳴鳳
曹岐山,雲築
曹岠,巨山
曹峰,魯山
曹崇,子高
曹崇之,唐老
曹崈,宗山
曹崐,來鳳
曹嵩,太皇帝
曹希璨,遁庵,韞生
曹師曾,雲浦
曹平,公正
曹庠業,江盧
曹庭棟,六圃,慈山,楷人
曹廉,惟淸
曹廣楨,梅訪
曹廣榮,桐生
曹廣權,南園,東寅,東瀛
曹延祚,熙載
曹廷傑,亞東平情人,彞卿
曹廷華,端士
曹廷鎬,西伯
曹建,旡妄,立之
曹弘,毅之
曹弘立,弘立
曹彌昌,季文,季父
曹彥可,節愍
曹彥約,昌谷,簡甫
曹彦卿,國老
曹彬,國華,武惠
曹得,希賢
曹德,建德
曹德慶,肯堂
曹德華,山甫,迪諧
曹必聞,天成
曹志,伯康,拱和居士
曹志清,仙楣,鑑塘,鑒堂,顓枚
曹忠,東山,顯卿
曹忭,十二,子誠,紀山
曹忱,曹溪,藎臣
曹思正,貞吾
曹思鑑,鏡齋
曹思順,彥信,柏窗
曹怡老,曹愉老
