# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
丁履恆,冬心,宛芳樓,宛芳閣,寫韻樓,寫韻齋,思賢閣,望雲聽雨山房,東心,若士,道久
丁履端,希呂,鬱慈
丁履豫,叔安
丁山,王之祿
丁峻,潛生
丁峻飛,扶萬
丁崇略,書三
丁崇雅,鹿材,鹿村
丁嵩,鏡人
丁川,大容,東陵
丁巨滄,省齋
丁希亮,少詹
丁希呂,渭叟
丁希孔,顏學
丁師羲,象先
丁師虞,武彜
丁常任,卿季
丁年,伯延,紹南
丁幼嫻,靜芳
丁度,公雅,文簡
丁康臣,道濟
丁廙,敬禮
丁廷彥,濟川
丁廷楗,駿公
丁式度,學裴,心裴
丁弘誨,景呂
丁彥,文博,易齋
丁彥儔,冉垞
丁彥和,暢之
丁彥璜,仲徽,渭叟,默拱翁
丁彥臣,梅花草盦,筱農,脈望館
丁復,仲容
丁徵,允中
丁德孫,惟一
丁德昌,福田
丁德興,武襄,濟國公,黑丁
丁必稱,季言
丁志先,喜仙
丁志夫,剛巽,剛選
丁志振,勖亭
丁志方,貞定
丁思孔,景行,泰岩,泰巖
丁思敬,止安,鶴皋
丁思賢,次修
丁惟寧,養靜
丁惟暄,以舒,碧霄菴
丁惟禔,靜簃
丁惠康,叔雅,惺庵
丁惠馨,行二,郁卿
丁慈,元愷
丁慎儀,佩琳
丁慶鰲,紹仙
丁憲鍾,重甫
丁應奎,圭叟
丁應斗,忠靖,樞卿
丁應桂,叔才
丁應正,東阜
丁應泰,元父
丁應璧,為章
丁應詔,國賓
丁應賓,聘之
丁應鑾,文園
丁應龍,玄津
丁懋儒,聘卿,觀峰
丁懋建,二十,元敬
丁懋遜,允節
丁懌,天放散人,若思
丁懲,啟善
丁成,成甫
丁承衍,定甫
丁承鎬,西盧,西齋
丁振德,堯卿,堯春,蕘詢
丁振鐸,孫伯,巡卿,循卿,振鐸,聲伯
丁授經,緗士,蓮莊
丁政,孟擧
丁敏,巽學
